,Season,SeasonOrder,Team,Round,TotalPoints,Position
670,1920,26,Portimonense,6,5,15
671,1920,26,Belenenses,6,5,16
672,1920,26,Paços Ferreira,6,4,17
673,1920,26,Desp. Aves,6,3,18
674,1920,26,Famalicão,7,19,1
675,1920,26,FC Porto,7,18,2
676,1920,26,SL Benfica,7,18,3
677,1920,26,V. Guimarães,7,12,4
678,1920,26,Boavista,7,11,5
679,1920,26,Santa Clara,7,11,6
680,1920,26,Sporting CP,7,11,7
681,1920,26,Rio Ave,7,10,8
682,1920,26,Tondela,7,9,9
683,1920,26,SC Braga,7,8,10
684,1920,26,Marítimo,7,8,11
685,1920,26,V. Setúbal,7,7,12
686,1920,26,Moreirense,7,7,13
687,1920,26,Gil Vicente,7,6,14
688,1920,26,Belenenses,7,5,15
689,1920,26,Portimonense,7,5,16
690,1920,26,Paços Ferreira,7,4,17
691,1920,26,Desp. Aves,7,3,18
692,1920,26,FC Porto,8,21,1
693,1920,26,SL Benfica,8,21,2
694,1920,26,Famalicão,8,19,3
695,1920,26,Sporting CP,8,14,4
696,1920,26,Boavista,8,12,5
697,1920,26,V. Guimarães,8,12,6
698,1920,26,Rio Ave,8,11,7
699,1920,26,SC Braga,8,11,8
700,1920,26,Santa Clara,8,11,9
701,1920,26,Tondela,8,9,10
702,1920,26,Marítimo,8,9,11
703,1920,26,Moreirense,8,8,12
704,1920,26,V. Setúbal,8,8,13
705,1920,26,Belenenses,8,8,14
706,1920,26,Gil Vicente,8,7,15
707,1920,26,Portimonense,8,6,16
708,1920,26,Paços Ferreira,8,5,17
709,1920,26,Desp. Aves,8,3,18
710,1920,26,SL Benfica,9,24,1
711,1920,26,FC Porto,9,22,2
