,Season,Jogador,J,A,2A,VE
0,0102,Deco [FC Porto],30.0,17.0,2.0,0.0
1,0102,Adalberto [Paços de Ferreira],31.0,14.0,0.0,1.0
2,0102,Cléber Lima [V. Guimarães],32.0,14.0,1.0,0.0
3,0102,Torrão [FC Alverca],30.0,13.0,0.0,1.0
4,0102,Sérgio Nunes [Santa Clara],29.0,13.0,1.0,0.0
5,0102,Costinha [FC Porto],29.0,12.0,1.0,0.0
6,0102,Barroso [SC Braga],26.0,12.0,0.0,0.0
7,0102,Luís Manuel [Beira-Mar],27.0,12.0,2.0,0.0
8,0102,Tinaia [FC Alverca],29.0,12.0,1.0,0.0
9,0102,João Manuel [UD Leiria],30.0,12.0,2.0,0.0
10,0102,Luís Loureiro [Gil Vicente],27.0,11.0,1.0,0.0
11,0102,Mário Jardel [Sporting],30.0,11.0,1.0,0.0
12,0102,Bilro [UD Leiria],32.0,11.0,0.0,1.0
13,0102,Briguel [Marítimo],23.0,10.0,1.0,0.0
14,0102,Nuno Frechaut [Boavista],25.0,10.0,0.0,0.0
15,0102,Ricardo Rocha [SC Braga],25.0,10.0,1.0,1.0
16,0102,Petit [Boavista],25.0,10.0,0.0,0.0
17,0102,Pedro Emanuel [Boavista],28.0,10.0,1.0,0.0
18,0102,Pedro Henriques [Belenenses],28.0,10.0,0.0,0.0
19,0102,Silas [UD Leiria],32.0,10.0,0.0,0.0
0,0203,Cléber Lima [V. Guimarães],31.0,17.0,1.0,2.0
1,0203,Pepe [Marítimo],29.0,16.0,1.0,1.0
2,0203,Deco [FC Porto],30.0,16.0,0.0,1.0
3,0203,Nuno Amaro [Gil Vicente],29.0,14.0,2.0,1.0
4,0203,Paulo Sousa [Paços de Ferreira],30.0,13.0,2.0,1.0
5,0203,Ricardo Silva [V. Guimarães],28.0,13.0,0.0,1.0
6,0203,Pedro Santos [Boavista],19.0,12.0,3.0,0.0
7,0203,Petit [Benfica],25.0,12.0,1.0,1.0
8,0203,Filgueira [Belenenses],24.0,12.0,1.0,0.0
9,0203,Fernando Aguiar [UD Leiria],28.0,12.0,0.0,1.0
10,0203,Jorge Costa [FC Porto],26.0,12.0,1.0,0.0
11,0203,Aldo [Santa Clara],27.0,12.0,0.0,0.0
12,0203,Hugo Alcântara [V. Setúbal],28.0,12.0,1.0,0.0
13,0203,Flávio Meireles [Moreirense],32.0,12.0,0.0,1.0
14,0203,André Macanga [Académica OAF],32.0,12.0,0.0,0.0
15,0203,Arrieta [SC Braga],31.0,11.0,0.0,0.0
16,0203,Sérgio Lomba [Moreirense],23.0,11.0,0.0,0.0
17,0203,Castanheira [SC Braga],29.0,11.0,1.0,0.0
18,0203,Luís Vouzela [Santa Clara],29.0,11.0,0.0,0.0
19,0203,Luís Loureiro [Gil Vicente],30.0,11.0,1.0,0.0
0,0304,Ferreira [Gil Vicente],30.0,15.0,1.0,0.0
1,0304,Jaime Júnior [Rio Ave],28.0,14.0,0.0,2.0
2,0304,Torrão [FC Alverca],30.0,14.0,0.0,1.0
3,0304,Maniche [FC Porto],31.0,13.0,0.0,0.0
4,0304,Rui Jorge [Sporting],29.0,13.0,2.0,0.0
5,0304,Ávalos [Nacional],31.0,13.0,1.0,0.0
6,0304,Luís Loureiro [Gil Vicente],28.0,12.0,1.0,0.0
7,0304,Flávio Meireles [V. Guimarães],26.0,12.0,1.0,0.0
8,0304,Mozer [Rio Ave],29.0,12.0,0.0,1.0
9,0304,Ricardo Sousa [Boavista],32.0,12.0,0.0,0.0
10,0304,Sérgio Lomba [Moreirense],30.0,12.0,0.0,0.0
11,0304,Jorge Costa [FC Porto],19.0,11.0,0.0,0.0
12,0304,Edson Canhão [UD Leiria],28.0,11.0,3.0,0.0
13,0304,Deco [FC Porto],28.0,11.0,1.0,0.0
14,0304,Pepe [Marítimo],30.0,11.0,0.0,2.0
15,0304,Tonel [Académica OAF],32.0,11.0,0.0,0.0
